timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/06/09 13:37:54.298, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:55.298, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:56.299, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:57.299, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:58.299, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:59.300, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:00.300, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:01.300, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:02.300, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:03.301, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:04.301, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:05.301, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:06.302, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:07.302, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:08.302, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:09.303, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:10.303, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:11.303, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:12.304, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:13.304, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:14.304, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:15.305, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:16.306, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:17.306, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:18.306, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:19.306, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:20.307, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:21.307, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:22.308, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:23.308, 0 %, 0 %, 1060 MiB
2026/06/09 13:38:24.309, 0 %, 0 %, 1060 MiB
